NAME,DENSITY,MODULUS OF ELASTICITY,,,
ABS_Molded_low_density,0.882,0.778,,,
ABS_Molded_high_density,3.5,6.1,,,
ABS_Heat_Resistant_Molded_low_density,0.89,1.7,,,
ABS_Heat_Resistant_Molded_high_density,1.5,2.7,,,
ABS_Impact_Grade_Molded_low_density,1,1.4,,,
ABS_Impact_Grade_Molded_high_density,3.501,2.55,,,
ABS_Transparent_Molded_low_density,1.04,1.35,,,
ABS_Transparent_Molded_high_density,1.16,2.35,,,
ABS_Extruded_low_density,1.01,1,,,
ABS_Extruded_high_density,1.2,2.65,,,
ABS_Plating_Grade_low_density,1.03,1.7,,,
ABS_Plating_Grade_high_density,2.5,2.77,,,
ABS_Unreinforced_Flame_Retardant_low_density,1.041,1.27,,,
ABS_Unreinforced_Flame_Retardant_high_density,1.43,4.48,,,
ABS_Glass_Fiber_Filled_Flame_Retardant_low_density,1.13,3.1,,,
ABS_Glass_Fiber_Filled_Flame_Retardant_high_density,1.48,9.65,,,
ABS_10%_Glass_Fiber_Filled_low_density,1.06,2.5,,,
ABS_10%_Glass_Fiber_Filled_high_density,1.4,5.88,,,
ABS_20%_Glass_Fiber_Filled_low_density,1.1,3.5,,,
ABS_20%_Glass_Fiber_Filled_high_density,1.45,12.2,,,
ABS_30%_Glass_Fiber_Filled_low_density,1.17,3.3,,,
ABS_30%_Glass_Fiber_Filled_high_density,1.51,10,,,
ABS_40%_Glass_Fiber_Filled_low_density,1.32,5.3,,,
ABS_40%_Glass_Fiber_Filled_high_density,1.38,11,,,
ABS_Glass_Bead_Filled_low_density,1.061,2.21,,,
ABS_Glass_Bead_Filled_high_density,1.381,3.45,,,
ABS_10%_Carbon_Fiber_Filled_low_density,1.07,3.45,,,
ABS_10%_Carbon_Fiber_Filled_high_density,1.26,11.7,,,
ABS_20%_Carbon_Fiber_Filled_low_density,1.101,6.6,,,
ABS_20%_Carbon_Fiber_Filled_high_density,1.3,13.8,,,
ABS_30%_Carbon_Fiber_Filled_low_density,1.15,17.2,,,
ABS_30%_Carbon_Fiber_Filled_high_density,1.382,19.3,,,
ABS_PTFE_Filled_low_density,1.05,2.21,,,
ABS_PTFE_Filled_high_density,1.321,2.76,,,
ABS_Stainless_Steel_fiber_filled_low_density,1.011,2.28,,,
ABS_Stainless_Steel_fiber_filled_high_density,1.511,3.1,,,
ABS_NCG_Fiber_filled_low_density,1.071,5.17,,,
ABS_NCG_Fiber_filled_high_density,1.512,17.9,,,
ABS_sheet_low_density,0.775,1.83,,,
ABS_sheet_high_density,1.28,2.21,,,
ABS_Nylon_blend_low_density,1.0411,0.9,,,
ABS_Nylon_blend_high_density,1.21,3.5,,,
ABS_Nylon_blend_glass_reinforced_low_density,1.0611,1.2,,,
ABS_Nylon_blend_glass_reinforced_high_density,1.53,8.1,,,
ABS_Alloy_unreinforced_low_density,0.962,1.67,,,
ABS_Alloy_unreinforced_high_density,1.5111,11.1,,,
ABS_Glass_Fiber_Filled_low_density,0.9621,2.41,,,
ABS_Glass_Fiber_Filled_high_density,1.481,13,,,
ABS_Carbon_Fiber_Filled_low_density,1.171,4.61,,,
ABS_Carbon_Fiber_Filled_high_density,1.41,16.5,,,
ABS_Alloy_NCG_Fiber_Filled_low_density,1.181,4.48,,,
ABS_Alloy_NCG_Fiber_Filled_high_density,1.451,17.9,,,
